rut,name,company_type
70015730-K,Mutual de Seguros de Chile,life
76034737-K,Save Compañía de Seguros de Vida S.A.,life
76039758-K,Compañía de Seguros Generales Continental S.A.,general
76042965-1,Orion Seguros Generales S.A.,general
76061223-5,Zenit Seguros Generales S.A.,general
76173258-7,Unnio Seguros Generales S.A.,general
76212519-6,Assurant Chile Compañía de Seguros Generales S.A.,general
76213329-6,Help Seguros de Vida S.A.,life
76263414-7,Seguros de Vida Suramericana S.A.,life
76282191-5,Bupa Compañía de Seguros de Vida S.A.,life
76328793-9,MetLife Chile Seguros Generales S.A.,general
76408757-7,Colmena Compañía de Seguros de Vida S.A.,life
76418751-2,Life Seguros de Vida S.A.,life
76477116-8,CF Seguros de Vida S.A.,life
76511423-3,Alemana Seguros S.A.,life
76573480-0,Seguros CLC S.A.,life
76590840-K,Zurich Santander Seguros Generales Chile S.A.,general
76598625-7,Aseguradora Porvenir S.A.,general
76620932-7,Starr International Seguros Generales S.A.,general
76632384-7,Augustar Seguros de Vida S.A.,life
76632553-K,Seguros de Vida y Salud UC Christus S.A.,life
76743492-8,Reale Chile Seguros Generales S.A.,general
76981875-8,Contémpora Compañía de Seguros Generales S.A.,general
77096952-2,FID Chile Seguros Generales S.A.,general
77205281-2,Divina Pastora Seguros de Vida S.A.,life
77591207-3,Everest Compañía de Seguros Generales Chile S.A.,general
78027718-1,Liberty Mutual Surety Seguros Chile S.A.,surety
94510000-1,Renta Nacional Compañía de Seguros Generales S.A.,general
94716000-1,Renta Nacional Compañía de Seguros de Vida S.A.,life
96508210-7,Mapfre Compañía de Seguros Generales de Chile S.A.,general
96549050-7,Seguros de Vida Sura S.A.,life
96571890-7,Compañía de Seguros Confuturo S.A.,life
96573600-K,BCI Seguros Vida S.A.,life
96579280-5,"CN Life, Compañía de Seguros de Vida S.A.",life
96588080-1,Principal Compañía de Seguros de Vida Chile S.A.,life
96654180-6,Compañía de Seguros Generales Consorcio Nacional de Seguros S.A.,general
96656410-5,Bice Vida Compañía de Seguros S.A.,life
96687900-9,Ohio National Seguros de Vida S.A.,life
96812960-0,Penta Vida Compañía de Seguros de Vida S.A.,life
96819630-8,Zurich Santander Seguros de Vida Chile S.A.,life
96837630-6,BNP Paribas Cardif Seguros de Vida S.A.,life
96837640-3,BNP Paribas Cardif Seguros Generales S.A.,general
96933030-K,Mapfre Compañía de Seguros de Vida de Chile S.A.,life
99003000-6,Compañía de Seguros de Vida Cámara S.A.,life
99012000-5,Compañía de Seguros de Vida Consorcio Nacional de Seguros S.A.,life
99017000-2,Seguros Generales Suramericana S.A.,general
99024000-0,Mutualidad de Carabineros,life
99025000-6,Mutualidad del Ejército y Aviación,life
99037000-1,Zurich Chile Seguros Generales S.A.,general
99061000-2,HDI Seguros S.A.,general
99147000-K,BCI Seguros Generales S.A.,general
99185000-7,Zurich Chile Seguros de Vida S.A.,life
99225000-3,Chubb Seguros Chile S.A.,general
99231000-6,HDI Seguros S.A. (anterior),general
99279000-8,EuroAmérica Seguros de Vida S.A.,life
99288000-7,Southbridge Compañía de Seguros Generales S.A.,general
99289000-2,MetLife Chile Seguros de Vida S.A.,life
99588060-1,Chubb Seguros de Vida Chile S.A.,life
99301000-6,Seguros Vida Security Previsión S.A.,life
